WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LAT_WWTP,LON_WWTP,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
4070,1,1283040,FOSSALTA_DI_PORTOGRUARO_LOC_VILLANOVA,Italy,ITA,45.761,12.886,2,45.685,12.827,Not Reported,1475,2,291.998,4,Advanced,1,2034.376,20489434.0,6.872,0,1,1800.0,2
4071,1,1283041,FOSSALTA_DI_PORTOGRUARO_VIA_EUROPA,Italy,ITA,45.783,12.912,2,45.69,12.873,Not Reported,2455,2,486.003,4,Advanced,1,,20488503.0,,1,1,3000.0,2
4072,1,1283042,FRATTA_POLESINE_VIA_PALLADIO,Italy,ITA,45.029,11.649,2,45.002,11.748,Not Reported,1809,2,358.118,4,Advanced,1,1479.45,20503863.0,6.128,0,0,4200.0,2
4073,1,1283043,FSS_IF01_FITODEPURAZIONE,Italy,ITA,45.798,12.89,2,45.723,12.819,Not Reported,270,2,53.45,4,Secondary,1,6162.914,20488232.0,3.812,0,1,330.0,2
4074,1,1283044,GAIARINE_FRZ_FRANCENIGO,Italy,ITA,45.89,12.503,2,45.844,12.552,Not Reported,150,2,29.695,4,Secondary,1,32192.957,20484601.0,11.064,0,1,1020.0,2
4075,1,1283045,GAZZO_PADOVANO_VIA_CADORNA_LOC_GROSSA,Italy,ITA,45.554,11.702,2,45.456,11.727,Not Reported,3217,2,636.852,4,Secondary,1,158.917,20493567.0,1.164,0,0,3500.0,2
4076,1,1283046,GAZZO_VERONESE_MORRARON,Italy,ITA,45.129,11.083,2,45.119,11.09,Not Reported,3260,2,645.364,4,Advanced,1,699.709,20501841.0,5.219,0,0,4000.0,2
4077,1,1283047,GIACCIANO_CON_BARUCHELLA_VIA_MADONNINA,Italy,ITA,45.06,11.445,2,45.035,11.51,Not Reported,1151,2,227.857,4,Advanced,1,1920.055,20503863.0,5.061,0,0,1200.0,2
4078,1,1283048,OSASCO_SAN_SECONDO_PRAROSTINO,Italy,ITA,44.85,7.355,2,44.827,7.41,Not Reported,4763,2,2573.0,1,Secondary,1,604.457,20508032.0,17.971,0,0,5441.0,2
4079,1,1283049,OVADA,Italy,ITA,44.652,8.651,2,44.685,8.665,Not Reported,16020,2,4278.142,1,Secondary,1,207.501,20510524.0,10.225,0,1,18000.0,2
