gutenberg_id,subject_type,subject
61679,lcc,PZ
66973,lcc,JC
45637,lcc,E300
71930,lcsh,"Isabella I, Queen of Spain, 1451-1504"
72324,lcsh,English poetry -- History and criticism
45733,lcc,D
14608,lcsh,Parent and child -- Juvenile fiction
59505,lcsh,Science fiction
61829,lcsh,Teenage girls -- Juvenile fiction
6562,lcsh,Précieuses -- Drama
8941,lcc,PR
11198,lcsh,Christianity and other religions -- Islam
7832,lcsh,New York (N.Y.) -- Fiction
73450,lcsh,England -- Social life and customs -- 20th century -- Fiction
54086,lcc,GN
41020,lcc,PR
21263,lcsh,Art
22418,lcsh,Conduct of life
2722,lcsh,Egypt -- History -- To 332 B.C. -- Fiction
13227,lcsh,Castles -- Juvenile fiction
1532,lcsh,"Lear, King (Legendary character) -- Drama"
35114,lcc,PA
71166,lcsh,English wit and humor
8871,lcsh,"Turgenev, Ivan Sergeevich, 1818-1883 -- Translations into English"
64882,lcc,HC
64169,lcsh,Soldiers -- Juvenile fiction
15543,lcsh,"Authors, French -- 18th century -- Biography"
53253,lcsh,Fiction
29720,lcsh,Science fiction
18097,lcsh,Cooking -- Study and teaching (Secondary)
67892,lcsh,Juvenile delinquency -- England -- History -- 19th century -- Sources
56659,lcsh,London (England) -- Social life and customs
32492,lcsh,Scientific recreations
22457,lcc,PE
27046,lcsh,Project Gutenberg
57932,lcc,PT
41320,lcc,PT
36096,lcsh,"Byzantine Empire -- History -- Justinian I, 527-565"
21861,lcc,PZ
15775,lcsh,Older people -- Fiction
39231,lcsh,Conversion -- Juvenile fiction
34388,lcc,DT
26869,lcsh,London (England) -- Juvenile fiction
41711,lcc,PR
59138,lcsh,Cousins -- Fiction
47215,lcsh,Tree worship
33601,lcsh,Violinists -- Fiction
9148,lcc,G
19916,lcsh,East and West -- Fiction
56784,lcc,TP
30516,lcsh,Democracy -- United States
59933,lcsh,Canada -- History -- 1867-1914
62793,lcsh,Birds -- Juvenile literature
56156,lcc,PT
11471,lcsh,"Humorous stories, English"
52611,lcsh,Devil -- Fiction
64353,lcsh,Technical education
36119,lcsh,Family -- Juvenile fiction
19654,lcsh,"Pope, Alexander, 1688-1744"
34767,lcsh,"Wainewright, Thomas Griffiths, 1794-1847"
59147,lcsh,Dime novels
26192,lcsh,Cornish language -- Grammar
48859,lcsh,"Finland -- History -- Revolution, 1917-1918 -- Fiction"
43675,lcsh,Conduct of life -- Juvenile fiction
33012,lcc,PR
16739,lcsh,Christianity
25493,lcsh,Women travelers -- England -- Fiction
19973,lcsh,"Mythology, Celtic -- Wales"
25865,lcsh,Family -- Juvenile fiction
42504,lcsh,Conduct of life -- Juvenile fiction
70497,lcsh,"Broughton, Thomas, 1712-1777"
34315,lcsh,Microtus
45763,lcsh,New England -- Genealogy -- Periodicals
33438,lcc,D501
45448,lcsh,Historical fiction
49695,lcc,PZ
53574,lcc,DT
70074,lcsh,Theosophy
70010,lcsh,Orphans -- Fiction
25544,lcsh,Savannah (Steamship)
54198,lcc,DA
48167,lcsh,Orphans -- Juvenile fiction
65080,lcsh,Youth -- Conduct of life -- Juvenile fiction
35114,lcsh,"Greek literature, Modern"
1686,lcsh,Attempted assassination -- Fiction
53360,lcc,DS
52374,lcsh,Finnish drama -- 20th century
19249,lcc,PQ
18349,lcsh,"Spanish Succession, War of, 1701-1714 -- Juvenile fiction"
48910,lcc,PR
57334,lcsh,"United States -- History -- Civil War, 1861-1865 -- Fiction"
48236,lcc,BL
13071,lcc,PR
8156,lcc,BS
26717,lcc,PQ
70637,lcsh,Egypt -- Description and travel
9532,lcsh,Detective and mystery stories
72180,lcc,PS
11992,lcsh,"France -- History -- Revolution, 1789-1799"
64635,lcsh,Dime novels
866,lcsh,Fiction
31315,lcsh,"Sumner, Charles, 1811-1874"
25230,lcc,PS
39293,lcsh,Etiquette for men
62653,lcsh,Man-woman relationships -- Fiction
