set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,_art_year
41519-1,Glurt,2014,580,62,https://cdn.rebrickable.com/media/sets/41519-1.jpg,91115.0,4.0,847,1,2014
41520-1,Torts,2014,580,48,https://cdn.rebrickable.com/media/sets/41520-1.jpg,91115.0,4.0,12652,1,2014
4152-1,Large Freestyle Bucket,1995,399,409,https://cdn.rebrickable.com/media/sets/4152-1.jpg,,,9429,1,1995
41521-1,Footi,2014,580,72,https://cdn.rebrickable.com/media/sets/41521-1.jpg,91115.0,3.0,12024,1,2014
41522-1,Scorpi,2014,580,70,https://cdn.rebrickable.com/media/sets/41522-1.jpg,91115.0,3.0,15302,1,2014
41523-1,Hoogi,2014,580,69,https://cdn.rebrickable.com/media/sets/41523-1.jpg,91115.0,3.0,6781,1,2014
41524-1,Mesmo,2014,580,64,https://cdn.rebrickable.com/media/sets/41524-1.jpg,91115.0,3.0,10525,1,2014
41525-1,Magnifo,2014,580,61,https://cdn.rebrickable.com/media/sets/41525-1.jpg,91115.0,3.0,11995,1,2014
41526-1,Wizwuz,2014,580,70,https://cdn.rebrickable.com/media/sets/41526-1.jpg,91115.0,3.0,8507,1,2014
41527-1,Rokit,2015,580,66,https://cdn.rebrickable.com/media/sets/41527-1.jpg,6871.0,1.0,2772,1,2015
41528-1,Niksput,2015,580,62,https://cdn.rebrickable.com/media/sets/41528-1.jpg,6871.0,1.0,1412,1,2015
41529-1,Nurp-Naut,2015,580,52,https://cdn.rebrickable.com/media/sets/41529-1.jpg,6871.0,1.0,10382,1,2015
41530-1,Meltus,2015,580,66,https://cdn.rebrickable.com/media/sets/41530-1.jpg,6871.0,1.0,8145,1,2015
4153-1,Large Freestyle Playcase,1995,399,698,https://cdn.rebrickable.com/media/sets/4153-1.jpg,,,13014,1,1995
41531-1,Flamzer,2015,580,60,https://cdn.rebrickable.com/media/sets/41531-1.jpg,6871.0,1.0,10160,1,2015
41532-1,Burnard,2015,580,59,https://cdn.rebrickable.com/media/sets/41532-1.jpg,6871.0,1.0,1449,1,2015
41533-1,Globert,2015,580,45,https://cdn.rebrickable.com/media/sets/41533-1.jpg,6871.0,1.0,6932,1,2015
41534-1,Vampos,2015,580,59,https://cdn.rebrickable.com/media/sets/41534-1.jpg,6871.0,1.0,2226,1,2015
41535-1,Boogly,2015,580,52,https://cdn.rebrickable.com/media/sets/41535-1.jpg,6871.0,1.0,10633,1,2015
41536-1,Gox,2015,580,62,https://cdn.rebrickable.com/media/sets/41536-1.jpg,91119.0,4.0,11559,1,2015
41537-1,Jinky,2015,580,59,https://cdn.rebrickable.com/media/sets/41537-1.jpg,91119.0,4.0,9254,1,2015
41538-1,Kamzo,2015,580,58,https://cdn.rebrickable.com/media/sets/41538-1.jpg,91119.0,4.0,6484,1,2015
41539-1,Krog,2015,580,60,https://cdn.rebrickable.com/media/sets/41539-1.jpg,91119.0,3.0,1504,1,2015
41540-1,Chilbo,2015,580,65,https://cdn.rebrickable.com/media/sets/41540-1.jpg,91119.0,3.0,14085,1,2015
41541-1,Snoof,2015,580,54,https://cdn.rebrickable.com/media/sets/41541-1.jpg,91119.0,3.0,5932,1,2015
41542-1,Spugg,2015,580,51,https://cdn.rebrickable.com/media/sets/41542-1.jpg,91119.0,3.0,3729,1,2015
41543-1,Turg,2015,580,56,https://cdn.rebrickable.com/media/sets/41543-1.jpg,91119.0,3.0,3017,1,2015
41544-1,Tungster,2015,580,60,https://cdn.rebrickable.com/media/sets/41544-1.jpg,91119.0,3.0,6770,1,2015
41545-1,Kramm,2015,580,68,https://cdn.rebrickable.com/media/sets/41545-1.jpg,12322.0,1.0,3644,1,2015
41546-1,Forx,2015,580,65,https://cdn.rebrickable.com/media/sets/41546-1.jpg,12322.0,1.0,12773,1,2015
41547-1,Wuzzo,2015,580,74,https://cdn.rebrickable.com/media/sets/41547-1.jpg,12322.0,1.0,4143,1,2015
41548-1,Dribbal,2015,580,52,https://cdn.rebrickable.com/media/sets/41548-1.jpg,2544.0,1.0,12474,1,2015
41549-1,Gurggle,2015,580,66,https://cdn.rebrickable.com/media/sets/41549-1.jpg,2544.0,1.0,9649,1,2015
41550-1,Slusho,2015,580,53,https://cdn.rebrickable.com/media/sets/41550-1.jpg,2544.0,1.0,11347,1,2015
