camis,dba,boro,zipcode,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type,_art_year
50036001,WILLIAMS CAFE,BRONX,10461.0,American,05/11/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,33.0,,Cycle Inspection / Initial Inspection,2018
40643227,MCDONALD'S,QUEENS,11435.0,Hamburgers,05/16/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,Cycle Inspection / Re-inspection,2018
41591603,ARIS POLLOS A LA BRASA,BROOKLYN,11221.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",08/10/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,56.0,C,Cycle Inspection / Re-inspection,2017
41171296,KIIN THAI EATERY,MANHATTAN,10003.0,Thai,10/05/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,Smoke-Free Air Act / Initial Inspection,2016
50058469,MADMAN ESPRESSO,MANHATTAN,10003.0,CafÃ©/Coffee/Tea,08/06/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,26.0,,Cycle Inspection / Initial Inspection,2018
50014821,RED ROBIN GOURMET BURGERS AND BREW,BRONX,10475.0,American,09/29/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,Cycle Inspection / Re-inspection,2018
50001621,MR. CHAN'S CHINESE CUISINE,QUEENS,11354.0,Chinese,03/16/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,35.0,,Cycle Inspection / Initial Inspection,2016
41714881,PATRIZIA'S OF WOODLAWN,BRONX,10470.0,Italian,10/04/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18.0,B,Cycle Inspection / Re-inspection,2017
50070258,MAMA'S FRIED CHICKEN,MANHATTAN,10039.0,Chicken,05/30/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,23.0,,Pre-permit (Operational) / Initial Inspection,2018
50060047,BRAVO PIZZA,MANHATTAN,10018.0,Jewish/Kosher,03/01/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,40.0,,Cycle Inspection / Initial Inspection,2018
41385292,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,10016.0,Donuts,12/03/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10.0,A,Cycle Inspection / Initial Inspection,2015
41604442,AMARU,QUEENS,11372.0,Peruvian,10/03/2017,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12.0,A,Cycle Inspection / Re-inspection,2017
50048768,MIMI CHENG'S DUMPLINGS,MANHATTAN,10013.0,Chinese,03/28/2018,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,23.0,,Cycle Inspection / Initial Inspection,2018
41368013,D & I Restaurant & Bakery,BROOKLYN,11225.0,Caribbean,12/05/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,38.0,,Cycle Inspection / Re-inspection,2018
41548334,55 THOMAS CAFE,MANHATTAN,10013.0,American,12/16/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,16.0,,Cycle Inspection / Initial Inspection,2015
50046503,HALFTIME GRILL,BROOKLYN,11234.0,Jewish/Kosher,07/13/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,41.0,,Cycle Inspection / Initial Inspection,2017
41706054,STARBUCKS,MANHATTAN,10001.0,CafÃ©/Coffee/Tea,04/01/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,Cycle Inspection / Initial Inspection,2016
50006795,DUNKIN' DONUTS,QUEENS,11413.0,American,01/09/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,Cycle Inspection / Initial Inspection,2018
