LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
1907440,clarksville comm school district,IA,rural-distant,2016-2017,0.0,0.0,0.0,2.46153846153846,96.0,1.53846153846154,325,Extremely undiverse,,
1907470,clay central-everly comm school district,IA,rural-distant,1994-1995,1.12570356472795,0.187617260787992,0.375234521575985,0.187617260787992,98.1238273921201,,533,Extremely undiverse,,
1907470,clay central-everly comm school district,IA,rural-distant,2016-2017,0.0,1.71821305841924,1.71821305841924,2.40549828178694,93.4707903780069,0.687285223367698,291,Extremely undiverse,,
1907590,clear creek amana comm school district,IA,rural-fringe,1994-1995,0.0,0.61633281972265,0.462249614791988,0.770416024653313,98.1510015408321,,649,Extremely undiverse,,
1907590,clear creek amana comm school district,IA,rural-fringe,2016-2017,0.601374570446735,1.76116838487973,4.25257731958763,4.98281786941581,83.3762886597938,5.02577319587629,2328,Undiverse,,
1907620,clear lake comm school district,IA,town-remote,1994-1995,0.0598802395209581,1.25748502994012,0.29940119760479,1.31736526946108,97.065868263473,,1670,Extremely undiverse,,
1907620,clear lake comm school district,IA,town-remote,2016-2017,0.0723065798987708,1.08459869848156,1.59074475777296,5.63991323210412,86.1894432393348,5.42299349240781,1383,Undiverse,,
1907650,clearfield comm school distric,IA,,1994-1995,0.0,0.0,0.0,0.0,100.0,,78,Extremely undiverse,,
1907710,clinton comm school district,IA,town-distant,1994-1995,0.315893385982231,1.32280355380059,5.09378084896348,1.16485686080948,92.1026653504442,,5065,Extremely undiverse,,
1907710,clinton comm school district,IA,town-distant,2016-2017,0.203370133643231,0.813480534572923,9.87797791981406,8.3672283556072,74.0557815223707,6.68216153399186,3442,Diverse,0.0216216176538074,Highly integrated
1907860,college comm school district,IA,city-midsize,1994-1995,0.458069062720226,0.845665961945032,2.85412262156448,0.916138125440451,94.9260042283298,,2838,Extremely undiverse,,
1907860,college comm school district,IA,city-midsize,2016-2017,0.341235632183908,1.77801724137931,6.87859195402299,4.75933908045977,80.6573275862069,5.58548850574713,5568,Undiverse,,
1907900,collins-maxwell comm school district,IA,rural-distant,1994-1995,0.0,1.875,0.208333333333333,0.208333333333333,97.7083333333333,,480,Extremely undiverse,,
1907900,collins-maxwell comm school district,IA,rural-distant,2016-2017,0.0,0.224719101123596,0.674157303370786,4.04494382022472,93.0337078651685,2.02247191011236,445,Extremely undiverse,,
1907920,colo-nesco comm school district,IA,rural-distant,1994-1995,0.144927536231884,0.289855072463768,0.579710144927536,0.434782608695652,98.5507246376812,,690,Extremely undiverse,,
1907920,colo-nesco comm school district,IA,rural-distant,2016-2017,0.0,0.683371298405467,0.227790432801822,4.32801822323462,94.0774487471526,0.683371298405467,439,Extremely undiverse,,
1907980,columbus comm school district,IA,rural-distant,1994-1995,0.0,0.112866817155756,0.338600451467269,25.8465011286682,73.7020316027088,,886,Diverse,,
1907980,columbus comm school district,IA,rural-distant,2016-2017,0.403225806451613,10.6182795698925,1.20967741935484,60.8870967741936,26.747311827957,0.134408602150538,744,Diverse,,
1908070,coon rapids-bayard comm school district,IA,rural-remote,1994-1995,0.167224080267559,0.668896321070234,0.0,0.334448160535117,98.8294314381271,,598,Extremely undiverse,,
1908070,coon rapids-bayard comm school district,IA,rural-remote,2016-2017,0.0,0.240384615384615,0.0,7.21153846153846,91.5865384615385,0.961538461538462,416,Extremely undiverse,,
1908130,corning comm school district,IA,rural-remote,1994-1995,0.0,0.0,0.0,0.0,100.0,,720,Extremely undiverse,,
1908130,corning comm school district,IA,rural-remote,2016-2017,0.224719101123596,0.674157303370786,0.0,2.47191011235955,94.8314606741573,1.79775280898876,445,Extremely undiverse,,
1908190,corwith-wesley comm school dis,IA,,1994-1995,0.512820512820513,1.02564102564103,0.0,0.0,98.4615384615385,,195,Extremely undiverse,,
1908220,council bluffs comm school district,IA,city-small,1994-1995,0.807802186976653,0.679735986602305,1.48753817357896,2.33474534528618,94.6901783075559,,10151,Extremely undiverse,,
1908220,council bluffs comm school district,IA,city-small,2016-2017,0.896468787580628,1.1479173499508,3.26883131081229,14.8901279107904,76.0905214824533,3.70613315841259,9147,Undiverse,,
1908310,creston comm school district,IA,rural-fringe,1994-1995,0.117027501462844,0.117027501462844,0.292568753657109,0.0585137507314219,99.4148624926858,,1709,Extremely undiverse,,
