year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1999,TX,Comal County,suburban,South,West South Central,Total,48551.0,94.0,1999
1989,GA,Evans County,rural,South,South Atlantic,Asian,,,1989
2002,TX,Floyd County,rural,South,West South Central,Asian,12.0,,2002
1990,OK,Creek County,small/mid,South,West South Central,White,34110.0,,1990
1972,OK,Mayes County,rural,South,West South Central,Total,14653.0,13.5,1972
1996,MD,Garrett County,rural,South,South Atlantic,Female,9410.0,1.692308,1996
1992,ME,Cumberland County,small/mid,Northeast,New England,Asian,1697.0,,1992
1989,LA,St. Helena Parish,small/mid,South,West South Central,Black,3043.0,,1989
1981,CO,Montezuma County,rural,West,Mountain,White,9784.0,,1981
2004,MI,Lenawee County,rural,Midwest,East North Central,Total,67545.0,85.0,2004
1991,KY,Bath County,rural,South,East South Central,Asian,0.0,,1991
1989,GA,Pierce County,rural,South,South Atlantic,Black,931.0,,1989
1994,ND,Burke County,rural,Midwest,West North Central,Other,,,1994
1983,FL,Pinellas County,urban,South,South Atlantic,White,414628.0,,1983
1995,VA,Northumberland County,rural,South,South Atlantic,Male,3155.0,0.0,1995
1975,AL,Marengo County,rural,South,East South Central,Other,14.0,,1975
1975,HI,Honolulu County,small/mid,West,Pacific,Other,284148.0,,1975
1970,TX,Grimes County,rural,South,West South Central,Asian,,,1970
2002,VA,Covington city,rural,South,South Atlantic,Other,,,2002
1979,WY,Goshen County,rural,West,Mountain,Other,38.0,,1979
1982,MO,Lewis County,rural,Midwest,West North Central,Native American,,,1982
1977,NY,Orange County,suburban,Northeast,Middle Atlantic,Male,79828.0,82.75,1977
1985,GA,Gwinnett County,suburban,South,South Atlantic,Other,4169.0,,1985
1993,KS,Seward County,rural,Midwest,West North Central,Total,12608.0,24.0,1993
2011,MO,St. Clair County,rural,Midwest,West North Central,Native American,45.0,,2011
1978,TN,White County,rural,South,East South Central,Native American,,,1978
2009,IA,Crawford County,rural,Midwest,West North Central,Female,4986.0,0.0,2009
1988,NC,Franklin County,suburban,South,South Atlantic,Total,23601.0,17.0,1988
1987,NC,Northampton County,rural,South,South Atlantic,Latino,,,1987
2009,OH,Lucas County,small/mid,Midwest,East North Central,Total,297431.0,328.0,2009
1992,PA,Jefferson County,rural,Northeast,Middle Atlantic,Female,14335.0,0.0,1992
1970,MO,Mississippi County,rural,Midwest,West North Central,Black,1535.0,,1970
1973,NC,Stokes County,small/mid,South,South Atlantic,Native American,,,1973
2009,SD,Jerauld County,rural,Midwest,West North Central,Female,568.0,0.0,2009
1988,TN,Scott County,rural,South,East South Central,Total,11836.0,3.0,1988
1993,MI,Ionia County,rural,Midwest,East North Central,Asian,95.0,,1993
1988,CO,Gilpin County,suburban,West,Mountain,White,2164.0,,1988
1999,CA,Monterey County,small/mid,West,Pacific,Latino,117292.0,,1999
1973,ND,Traill County,rural,Midwest,West North Central,White,5423.0,,1973
1989,GA,Whitfield County,small/mid,South,South Atlantic,Male,24843.0,28.0,1989
1995,MO,Montgomery County,rural,Midwest,West North Central,Black,146.0,,1995
1994,MS,Marion County,rural,South,East South Central,Male,7641.0,21.66667,1994
2000,TN,Obion County,rural,South,East South Central,White,18712.0,,2000
1978,IA,Buchanan County,rural,Midwest,West North Central,Black,10.0,,1978
1999,MT,Wibaux County,rural,West,Mountain,Black,0.0,,1999
2006,MO,St. Charles County,suburban,Midwest,West North Central,Male,113855.0,0.0,2006
1990,GA,Baldwin County,rural,South,South Atlantic,Asian,199.0,,1990
1995,VA,Lee County,rural,South,South Atlantic,Asian,10.0,,1995
1983,ND,Nelson County,rural,Midwest,West North Central,Asian,,,1983
2003,OH,Union County,suburban,Midwest,East North Central,Total,30235.0,22.2456,2003
1979,MO,Scotland County,rural,Midwest,West North Central,Native American,,,1979
1984,IL,LaSalle County,rural,Midwest,East North Central,Asian,,,1984
1983,WV,Mingo County,rural,South,South Atlantic,Other,37.0,,1983
1984,TX,Shackelford County,rural,South,West South Central,Black,18.0,,1984
1973,KS,Allen County,rural,Midwest,West North Central,Black,150.0,,1973
2012,VA,Amherst County,small/mid,South,South Atlantic,Female,11093.0,2.0,2012
1998,TX,Presidio County,rural,South,West South Central,Asian,2.0,,1998
2007,GA,Walton County,suburban,South,South Atlantic,Total,53336.0,227.0,2007
1976,IL,Edgar County,rural,Midwest,East North Central,Black,39.0,,1976
1981,MI,Delta County,rural,Midwest,East North Central,Latino,,,1981
1981,IA,Cerro Gordo County,rural,Midwest,West North Central,Total,31288.0,5.2,1981
1990,ND,Traill County,rural,Midwest,West North Central,Black,10.0,,1990
2003,OH,Crawford County,rural,Midwest,East North Central,Total,29409.0,16.66667,2003
1987,MO,St. Francois County,rural,Midwest,West North Central,Female,14391.0,1.9,1987
1984,PA,Forest County,rural,Northeast,Middle Atlantic,Total,3090.0,1.605339,1984
1982,KS,Osborne County,rural,Midwest,West North Central,White,3117.0,,1982
1987,NC,Halifax County,rural,South,South Atlantic,Asian,,,1987
1974,TN,Macon County,suburban,South,East South Central,Female,4142.0,0.0,1974
1977,GA,Spalding County,suburban,South,South Atlantic,Other,76.0,,1977
1976,MT,Garfield County,rural,West,Mountain,Black,0.0,,1976
1980,GA,Clay County,rural,South,South Atlantic,Latino,,,1980
2010,MI,Dickinson County,rural,Midwest,East North Central,Native American,95.0,,2010
2015,WV,Hardy County,rural,South,South Atlantic,Black,298.0,,2015
1996,PA,Luzerne County,small/mid,Northeast,Middle Atlantic,Black,3728.0,,1996
2015,ND,Grant County,rural,Midwest,West North Central,Male,705.0,0.5983747,2015
1971,AL,Winston County,rural,South,East South Central,Black,33.0,,1971
2005,CA,Lassen County,rural,West,Pacific,Latino,4472.0,,2005
2008,IL,Jo Daviess County,rural,Midwest,East North Central,Other,,,2008
2000,IN,Fulton County,rural,Midwest,East North Central,Male,6519.0,17.66667,2000
2006,ND,Ransom County,rural,Midwest,West North Central,Total,3508.0,0.0,2006
1994,VA,Frederick County,small/mid,South,South Atlantic,Female,17143.0,5.25,1994
1993,OK,Cimarron County,rural,South,West South Central,White,1622.0,,1993
1985,SD,Roberts County,rural,Midwest,West North Central,Other,1178.0,,1985
1981,NM,De Baca County,rural,West,Mountain,Total,1384.0,0.0,1981
2000,WI,La Crosse County,small/mid,Midwest,West North Central,Native American,321.0,,2000
2006,TX,Leon County,rural,South,West South Central,Female,5020.0,0.0,2006
2001,TN,Tipton County,suburban,South,East South Central,Latino,457.0,,2001
1982,NM,Santa Fe County,small/mid,West,Mountain,Female,27242.0,2.142857,1982
2009,GA,Walton County,suburban,South,South Atlantic,Male,26914.0,177.0,2009
1998,IA,Wapello County,rural,Midwest,West North Central,Native American,56.0,,1998
1999,IN,Dubois County,rural,Midwest,East North Central,Other,,,1999
2010,SD,Todd County,rural,Midwest,West North Central,Latino,113.0,,2010
2000,NY,Seneca County,rural,Northeast,Middle Atlantic,Female,10464.0,4.666667,2000
1991,TX,King County,rural,South,West South Central,Black,0.0,,1991
1986,NC,Beaufort County,rural,South,South Atlantic,Other,51.0,,1986
1983,GA,Floyd County,small/mid,South,South Atlantic,White,45519.0,,1983
1984,MO,Greene County,small/mid,Midwest,West North Central,Other,1484.0,,1984
1975,MS,Franklin County,rural,South,East South Central,Latino,,,1975
1982,KY,Floyd County,rural,South,East South Central,Total,30888.0,11.8,1982
1981,FL,Martin County,small/mid,South,South Atlantic,Female,20636.0,1.733333,1981
1981,FL,Charlotte County,small/mid,South,South Atlantic,Asian,,,1981
1994,GA,Wayne County,rural,South,South Atlantic,Total,15902.0,37.83333,1994
2015,KS,Riley County,small/mid,Midwest,West North Central,Female,26400.0,7.0,2015
2013,NE,Hayes County,rural,Midwest,West North Central,Native American,1.0,,2013
2008,IN,Warrick County,small/mid,Midwest,East North Central,Black,535.0,,2008
2001,MT,Lake County,rural,West,Mountain,Female,8651.0,2.666667,2001
1971,ND,Adams County,rural,Midwest,West North Central,Male,1086.0,0.0,1971
1992,IN,Newton County,suburban,Midwest,East North Central,Female,4354.0,2.090909,1992
1981,LA,East Feliciana Parish,small/mid,South,West South Central,Asian,,,1981
1996,NY,Tioga County,small/mid,Northeast,Middle Atlantic,Male,16744.0,26.0,1996
1990,IN,Vigo County,small/mid,Midwest,East North Central,Asian,961.0,,1990
1991,FL,Osceola County,suburban,South,South Atlantic,White,60039.0,,1991
1990,TX,Guadalupe County,suburban,South,West South Central,Other,,,1990
2012,AZ,Mohave County,small/mid,West,Mountain,Asian,1937.0,,2012
1990,IA,Marion County,rural,Midwest,West North Central,Black,71.0,,1990
2016,TN,Unicoi County,small/mid,South,East South Central,Female,5577.0,,2016
1996,MN,Lyon County,rural,Midwest,West North Central,Other,,,1996
1998,WV,Hardy County,rural,South,South Atlantic,Male,4037.0,0.5252739,1998
2004,TN,Hickman County,suburban,South,East South Central,Black,856.0,,2004
1997,LA,St. Helena Parish,small/mid,South,West South Central,White,3098.0,,1997
1983,WV,Calhoun County,rural,South,South Atlantic,Female,2570.0,0.0,1983
1982,WY,Campbell County,rural,West,Mountain,Native American,,,1982
1990,NJ,Middlesex County,suburban,Northeast,Middle Atlantic,Asian,32268.0,,1990
1977,ND,Billings County,rural,Midwest,West North Central,Black,0.0,,1977
2008,TX,Coleman County,rural,South,West South Central,Native American,22.0,,2008
1997,OK,Washington County,rural,South,West South Central,Female,15454.0,4.666667,1997
1992,UT,Wayne County,rural,West,Middle Atlantic,Male,585.0,0.0,1992
1998,SD,Jerauld County,rural,Midwest,West North Central,Other,,,1998
1976,WA,Jefferson County,rural,West,Pacific,Asian,,,1976
1977,AR,Lawrence County,rural,South,West South Central,Asian,,,1977
1981,KS,Franklin County,rural,Midwest,West North Central,Native American,,,1981
1972,WV,Mingo County,rural,South,South Atlantic,White,19467.0,,1972
2001,TX,Marion County,rural,South,West South Central,Male,3445.0,8.0,2001
2000,CO,Alamosa County,rural,West,Mountain,Female,5091.0,2.0,2000
1988,MO,Livingston County,rural,Midwest,West North Central,Black,215.0,,1988
2004,MO,Jackson County,urban,Midwest,West North Central,Black,103565.0,,2004
2005,FL,Calhoun County,rural,South,South Atlantic,Native American,104.0,,2005
1987,LA,East Baton Rouge Parish,small/mid,South,West South Central,Latino,,,1987
1983,MN,Winona County,rural,Midwest,West North Central,Female,15836.0,1.0,1983
1970,MI,Isabella County,rural,Midwest,East North Central,Female,15701.0,0.0,1970
1985,FL,Miami-Dade County,urban,South,South Atlantic,Female,611858.0,177.0,1985
1972,VA,Franklin city,rural,South,South Atlantic,Native American,,,1972
1985,OH,Licking County,suburban,Midwest,East North Central,White,80830.0,,1985
1999,SD,Jackson County,rural,Midwest,West North Central,Asian,0.0,,1999
1984,GA,Chattooga County,rural,South,South Atlantic,Black,1159.0,,1984
1980,TN,Gibson County,rural,South,East South Central,White,25067.0,,1980
1983,SC,Jasper County,small/mid,South,South Atlantic,White,3983.0,,1983
1983,IN,Scott County,suburban,Midwest,East North Central,Female,6653.0,0.0,1983
1987,MS,Tippah County,rural,South,East South Central,Black,1824.0,,1987
1985,CO,Larimer County,small/mid,West,Mountain,Native American,,,1985
2001,KY,Calloway County,rural,South,East South Central,Black,1035.0,,2001
2000,TX,Kenedy County,rural,South,West South Central,Other,,,2000
1988,VA,Albemarle County,small/mid,South,South Atlantic,Latino,,,1988
2012,NY,Cortland County,rural,Northeast,Middle Atlantic,Native American,116.0,,2012
1973,CO,Larimer County,small/mid,West,Mountain,White,74437.0,,1973
1990,TN,Cumberland County,rural,South,East South Central,Black,21.0,,1990
1993,OR,Josephine County,small/mid,West,Pacific,White,37857.0,,1993
1980,AR,Baxter County,rural,South,West South Central,Black,14.0,,1980
2005,AR,Bradley County,rural,South,West South Central,White,4455.0,,2005
1973,AL,Lawrence County,small/mid,South,East South Central,Female,8495.0,0.0,1973
1983,OK,Osage County,small/mid,South,West South Central,Latino,,,1983
1997,IL,Douglas County,rural,Midwest,East North Central,Latino,329.0,,1997
1978,KS,Woodson County,rural,Midwest,West North Central,Male,1353.0,2.888889,1978
2016,NY,Lewis County,rural,Northeast,Middle Atlantic,Native American,41.0,,2016
1982,MT,Wibaux County,rural,West,Mountain,Black,0.0,,1982
1987,TX,Dimmit County,rural,South,West South Central,White,6559.0,,1987
2004,MO,Moniteau County,small/mid,Midwest,West North Central,White,8972.0,,2004
2006,CA,San Joaquin County,small/mid,West,Pacific,Black,33550.0,,2006
1993,NM,Lea County,rural,West,Mountain,Black,1538.0,,1993
1982,CO,Custer County,rural,West,Mountain,Native American,,,1982
2007,SD,Perkins County,rural,Midwest,West North Central,Other,,,2007
1973,TN,Unicoi County,small/mid,South,East South Central,Latino,,,1973
2016,TX,Presidio County,rural,South,West South Central,Total,3894.0,,2016
1983,PA,Northumberland County,rural,Northeast,Middle Atlantic,Asian,,,1983
1990,MO,Miller County,rural,Midwest,West North Central,Other,,,1990
1995,MO,Johnson County,rural,Midwest,West North Central,Latino,657.0,,1995
1987,MN,Hennepin County,urban,Midwest,West North Central,Latino,,,1987
2000,VA,Shenandoah County,rural,South,South Atlantic,Total,22612.0,25.0,2000
2006,GA,Brooks County,small/mid,South,South Atlantic,Latino,550.0,,2006
2010,OH,Sandusky County,rural,Midwest,East North Central,White,34788.0,,2010
1976,MI,Ionia County,rural,Midwest,East North Central,White,29296.0,,1976
2011,NY,Broome County,small/mid,Northeast,Middle Atlantic,Asian,6258.0,,2011
2006,IA,Grundy County,small/mid,Midwest,West North Central,Other,,,2006
2003,IL,Pike County,rural,Midwest,East North Central,Latino,63.0,,2003
1974,MO,Clinton County,suburban,Midwest,West North Central,Female,4246.0,0.0,1974
2005,NE,Sioux County,rural,Midwest,West North Central,Total,888.0,0.0,2005
1980,FL,Manatee County,small/mid,South,South Atlantic,Female,44899.0,5.285714,1980
2011,VA,Covington city,rural,South,South Atlantic,Female,1913.0,0.0,2011
1997,MS,Madison County,small/mid,South,East South Central,Female,24257.0,15.66667,1997
2009,TN,Tipton County,suburban,South,East South Central,Asian,333.0,,2009
1972,VA,Floyd County,small/mid,South,South Atlantic,Black,282.0,,1972
2001,AR,Pulaski County,small/mid,South,West South Central,White,155827.0,,2001
2000,AL,Russell County,small/mid,South,East South Central,Male,15512.0,134.0,2000
1989,TX,Deaf Smith County,rural,South,West South Central,Male,5684.0,26.8,1989
2001,NH,Merrimack County,rural,Northeast,New England,Black,665.0,,2001
1974,AL,Barbour County,rural,South,East South Central,Other,22.0,,1974
1996,NY,Washington County,small/mid,Northeast,Middle Atlantic,Male,21049.0,26.0,1996
1991,AK,Matanuska-Susitna Borough,small/mid,West,Pacific,Black,207.0,,1991
2007,AR,Lawrence County,rural,South,West South Central,Other,,,2007
2016,AL,Marion County,rural,South,East South Central,Native American,75.0,,2016
1982,MO,Benton County,rural,Midwest,West North Central,Latino,,,1982
1999,AK,Northwest Arctic Borough,rural,West,Pacific,Male,2334.0,,1999
1971,KS,Edwards County,rural,Midwest,West North Central,Female,1327.0,0.0,1971
2010,VA,Radford city,small/mid,South,South Atlantic,Asian,246.0,,2010
2010,WA,Walla Walla County,small/mid,West,Pacific,Asian,787.0,,2010
2012,PA,Sullivan County,rural,Northeast,Middle Atlantic,Latino,79.0,,2012
2001,PA,Crawford County,rural,Northeast,Middle Atlantic,Native American,146.0,,2001
1983,NC,Stokes County,small/mid,South,South Atlantic,Male,11359.0,6.5,1983
2005,OK,Tillman County,rural,South,West South Central,Native American,177.0,,2005
2016,KS,Edwards County,rural,Midwest,West North Central,Asian,10.0,,2016
2006,KY,Anderson County,rural,South,East South Central,Asian,64.0,,2006
1994,NC,Greene County,rural,South,South Atlantic,Other,,,1994
2001,CA,Santa Cruz County,small/mid,West,Pacific,Asian,8143.0,,2001
1996,TX,Webb County,small/mid,South,West South Central,Total,106156.0,201.75,1996
2013,MS,Quitman County,rural,South,East South Central,Latino,50.0,,2013
1976,ND,Emmons County,rural,Midwest,West North Central,White,3813.0,,1976
1990,TX,Brown County,rural,South,West South Central,Male,10288.0,44.0,1990
2007,IL,Marion County,rural,Midwest,East North Central,Male,12593.0,85.0,2007
1984,MA,Franklin County,rural,Northeast,New England,Female,21299.0,0.0,1984
2012,UT,Salt Lake County,urban,West,Middle Atlantic,Black,11333.0,,2012
1995,KY,Ballard County,rural,South,East South Central,Female,2541.0,0.0,1995
1992,WA,Skagit County,small/mid,West,Pacific,Asian,644.0,,1992
2013,FL,Duval County,urban,South,South Atlantic,Male,295625.0,2017.0,2013
1993,NC,Person County,small/mid,South,South Atlantic,White,14380.0,,1993
1987,ID,Blaine County,rural,West,Mountain,Female,4274.0,0.0,1987
2014,OH,Meigs County,rural,Midwest,East North Central,Latino,63.0,,2014
1972,WA,Okanogan County,rural,West,Pacific,Total,16292.0,9.25,1972
1972,ID,Washington County,rural,West,Mountain,Total,4771.0,1.0,1972
1999,GA,Haralson County,suburban,South,South Atlantic,Asian,46.0,,1999
1986,ID,Bingham County,rural,West,Mountain,Black,17.0,,1986
2012,WA,Klickitat County,rural,West,Pacific,White,11180.0,,2012
