book,text,line_num
A Study In Scarlet,,471
A Study In Scarlet,"I was on the point of asking him what that work might be, but",472
A Study In Scarlet,something in his manner showed me that the question would be an,473
A Study In Scarlet,"unwelcome one. I pondered over our short conversation, however, and",474
A Study In Scarlet,endeavoured to draw my deductions from it. He said that he would,475
A Study In Scarlet,acquire no knowledge which did not bear upon his object. Therefore,476
A Study In Scarlet,all the knowledge which he possessed was such as would be useful to,477
A Study In Scarlet,him. I enumerated in my own mind all the various points upon which he,478
A Study In Scarlet,had shown me that he was exceptionally well-informed. I even took a,479
A Study In Scarlet,pencil and jotted them down. I could not help smiling at the document,480
A Study In Scarlet,when I had completed it. It ran in this way--,481
A Study In Scarlet,,482
